color,r,g,b,matrice1,matrice,english-words,english-words-code
grey,170,170,170,Cover ,lose,respectful effective apposite precary,precary
pink,250,0,90,Category ,place,incredibily exquisite and ambitious,ambitious
gold,250,200,0,Pull ,hide,undepartable preflorating technocracy lotiform,technocracy lotiform
nude,250,180,120,Approach ,jump,felicitously deft satisfied unextenuable,unextenuable
orange,250,110,0,Hit ,drop,blurry artesian awesome,blurry artesian
white,255,255,255,Hope ,block,unlavish analeptical,analeptical
blue,0,0,255,Collect ,glean,"daintily perfect, intelligent photopathy",photopathy
green,0,255,0,Transition ,grow,bulbous spontaneous heroic,bulbous heroic
red,255,0,0,Limit ,cry,"candid apophantic, distinct and radiant",apophantic
black,0,0,0,Order ,scale,undertreated paleoatavistic obeyable swabble,swabble
brown,180,50,0,Learn,shrink,abundantly notable and unique submissive,notable submissive
yellow,255,255,0,Structure ,array,exhilerating redressible authority plausible,redressible authority
purple,180,50,255,Free ,cheer,"perfectly great - imaginative, brave, gifted",brave
